pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
2,Example_Files/Y.v09.txt,1201,5,93,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1206,5,77,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1244,5,69,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1248,5,81,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1254,5,97,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1259,5,81,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1303,8,40,6,13,28,True,True,6,2,2,True,
1,Example_Files/Y.v09.txt,1304,10,34,9,18,36,True,True,9,1,1,True,1.0
2,Example_Files/Y.v09.txt,1313,5,93,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1338,5,97,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v10.txt,4,6,57,4,9,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,11,6,52,4,4,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,16,6,55,4,8,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,17,6,45,4,9,21,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,22,6,53,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,24,6,52,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,30,6,49,4,7,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,43,6,46,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,45,6,60,4,6,20,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,49,6,54,4,6,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,50,6,48,4,6,14,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,52,6,59,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,69,6,43,4,6,13,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,74,6,49,4,7,17,True,True,4,2,2,True,
1,Example_Files/Y.v10.txt,79,6,50,5,7,14,True,True,5,1,1,True,1.0
2,Example_Files/Y.v10.txt,89,6,50,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,105,6,76,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,130,6,70,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,131,6,72,4,6,14,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,140,6,58,4,5,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,154,6,76,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,155,6,68,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,168,6,49,4,8,13,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,174,6,68,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,367,6,52,4,4,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,461,6,58,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,470,6,52,4,7,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,496,6,52,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,537,6,52,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,624,6,52,4,4,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,735,6,48,4,6,13,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,771,6,52,4,4,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,786,6,54,4,5,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,792,6,52,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,808,6,58,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,893,6,46,4,8,20,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,965,6,55,4,7,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,978,6,55,4,6,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1028,6,50,4,5,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1086,6,58,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1150,6,46,4,6,18,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1207,6,54,4,7,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1208,6,54,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1215,6,50,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1216,6,50,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1245,6,52,4,7,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1300,6,50,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1305,6,50,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1314,6,50,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1316,6,50,4,4,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1377,6,42,4,7,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1492,6,52,4,8,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1497,6,42,4,7,14,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1509,6,48,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1514,6,48,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1520,6,50,4,5,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1523,6,42,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1536,6,50,4,4,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1538,6,48,4,7,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1542,6,54,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1543,6,50,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1548,6,54,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1639,6,54,4,4,10,True,True,4,2,2,True,
1,Example_Files/Y.v10.txt,1649,6,50,5,5,14,True,True,5,1,1,True,1.0
2,Example_Files/Y.v10.txt,1672,6,50,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1719,6,50,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1730,6,52,4,6,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1753,6,52,4,4,8,True,True,4,2,2,True,
1,Example_Files/Y.v10.txt,1770,6,54,5,6,12,True,True,5,1,1,True,1.0
1,Example_Files/Y.v10.txt,1777,6,54,5,6,12,True,True,5,1,1,True,1.0
2,Example_Files/Y.v10.txt,1779,6,50,4,8,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1812,6,50,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1823,6,50,4,7,16,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1836,6,42,4,6,12,True,True,4,2,2,True,
1,Example_Files/Y.v10.txt,1860,6,46,5,6,12,True,True,5,1,1,True,2.0
2,Example_Files/Y.v10.txt,1869,6,50,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,1936,6,84,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2059,6,49,4,4,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2079,6,51,4,6,18,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2147,6,72,4,6,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2220,6,62,4,8,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2227,6,72,4,5,8,True,True,4,2,2,True,
